# Time	field	min	max
0.241935	T	293	1913.39
0.243548	T	293	1913.64
0.245161	T	293	1913.88
0.246774	T	293	1914.12
0.248387	T	293	1914.34
0.25	T	293	1914.56
0.251613	T	293	1914.77
0.253226	T	293	1914.97
0.254839	T	293	1915.16
0.256452	T	293	1915.35
0.258065	T	293	1915.53
0.259677	T	293	1915.7
0.26129	T	293	1915.87
0.262903	T	293	1916.03
0.264516	T	293	1916.18
0.266129	T	293	1916.33
0.267742	T	293	1916.48
0.269355	T	293	1916.62
0.270968	T	293	1916.75
0.272581	T	293	1916.88
0.274194	T	293	1917
0.275806	T	293	1917.12
0.277419	T	293	1917.23
0.279032	T	293	1917.34
0.280645	T	293	1917.45
0.282258	T	293	1917.55
0.283871	T	293	1917.65
0.285484	T	293	1917.74
0.287097	T	293	1917.83
0.28871	T	293	1917.91
0.290323	T	293	1918
0.291935	T	293	1918.08
0.293548	T	293	1918.15
0.295161	T	293	1918.23
0.296774	T	293	1918.3
0.298387	T	293	1918.36
0.3	T	293	1918.43
