# Source : all c0
# Cells  : 500
# Time	sum(V)	volIntegrate(dQ)
0.282258	8e-07	5.93459
0.283871	8e-07	5.93454
0.285484	8e-07	5.93461
0.287097	8e-07	5.93492
0.28871	8e-07	5.93534
0.290323	8e-07	5.93583
0.291935	8e-07	5.93641
0.293548	8e-07	5.937
0.295161	8e-07	5.93759
0.296774	8e-07	5.93816
0.298387	8e-07	5.9387
0.3	8e-07	5.93921
