# Time	field	min	max
0.254839	T	293	1952.06
0.256452	T	293	1952.04
0.258065	T	293	1952.02
0.259677	T	293	1952.01
0.26129	T	293	1952
0.262903	T	293	1952
0.264516	T	293	1951.99
0.266129	T	293	1951.98
0.267742	T	293	1951.97
0.269355	T	293	1951.95
0.270968	T	293	1951.94
0.272581	T	293	1951.92
0.274194	T	293	1951.9
0.275806	T	293	1951.88
0.277419	T	293	1951.86
0.279032	T	293	1951.81
0.280645	T	293	1951.77
0.282258	T	293	1951.76
0.283871	T	293	1951.76
0.285484	T	293	1951.7
0.287097	T	293	1951.62
0.28871	T	293	1951.53
0.290323	T	293	1951.45
0.291935	T	293	1951.37
0.293548	T	293	1951.3
0.295161	T	293	1951.24
0.296774	T	293	1951.18
0.298387	T	293	1951.13
0.3	T	293	1951.07
