# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phi)	sum(HRR_fu)
1.19048	0.1	-2.1987e-07	9.55853
1.2	0.1	-2.39055e-07	10.3596
1.21	0.1	-2.52526e-07	11.2268
1.22	0.1	-2.69226e-07	11.877
1.23	0.1	-2.91292e-07	12.6883
1.24	0.1	-3.18399e-07	13.746
1.25	0.1	-3.52492e-07	15.047
1.26	0.1	-3.95999e-07	16.6871
1.27	0.1	-4.5245e-07	18.7902
1.28	0.1	-5.27113e-07	21.5294
1.28923	0.1	-6.25984e-07	25.16
1.29846	0.1	-7.58111e-07	29.9322
1.30692	0.1	-8.62164e-07	35.9668
1.31538	0.1	-9.87498e-07	40.9141
1.32385	0.1	-1.12534e-06	46.8092
1.33231	0.1	-1.29e-06	53.3674
1.34077	0.1	-1.4874e-06	61.2197
1.34923	0.1	-1.72473e-06	70.6586
1.35769	0.1	-2.01085e-06	82.0206
1.36615	0.1	-2.35658e-06	95.7489
1.37292	0.1	-2.7744e-06	112.351
1.37969	0.1	-3.27988e-06	132.181
1.38646	0.1	-3.57198e-06	154.59
1.39323	0.1	-3.93171e-06	168.569
1.4	0.1	-4.37892e-06	185.976
1.40741	0.1	-4.93811e-06	207.675
1.41481	0.1	-5.64034e-06	234.965
1.42222	0.1	-6.62341e-06	270.095
1.42933	0.1	-7.89635e-06	319.019
1.43644	0.1	-9.54261e-06	383.045
1.44326	0.1	-1.15603e-05	465.939
1.45007	0.1	-1.41041e-05	566.314
1.45659	0.1	-1.32346e-05	644.136
1.46311	0.1	-1.25549e-05	605.02
1.46963	0.1	-1.20389e-05	575.83
1.47584	0.1	-1.1629e-05	553.379
1.48175	0.1	-1.13111e-05	535.617
1.48738	0.1	-1.10772e-05	521.941
1.49274	0.1	-1.091e-05	511.924
1.49785	0.1	-1.07955e-05	504.817
