# Source : patch region0_to_panelRegion_panel
# Faces  : 10
# Time	sum(magSf)	sum(phi)	sum(HRR_fu)
1.24	0.1	-6.57941e-05	3017.07
1.25	0.1	-6.73762e-05	3090.92
1.26	0.1	-6.89401e-05	3164.27
1.27	0.1	-7.04721e-05	3236.35
1.28	0.1	-7.19658e-05	3306.7
1.29	0.1	-7.34155e-05	3375.04
1.3	0.1	-7.48228e-05	3442.33
1.31	0.1	-7.78149e-05	3554.38
1.32	0.1	-8.04619e-05	3683.08
1.33	0.1	-8.28297e-05	3797.28
1.34	0.1	-8.49183e-05	3898.34
1.35	0.1	-8.6818e-05	3989.28
1.36	0.1	-8.85409e-05	4071.81
1.37	0.1	-9.01232e-05	4147.31
1.38	0.1	-9.15978e-05	4217.35
1.39	0.1	-9.29908e-05	4283.26
1.4	0.1	-9.43203e-05	4347.87
1.41	0.1	-9.98905e-05	4553.77
1.42	0.1	-0.000104254	4774.37
1.43	0.1	-0.000107633	4944.26
1.44	0.1	-0.000110283	5076.29
1.45	0.1	-0.000112409	5181.19
1.46	0.1	-0.000114174	5267.26
1.47	0.1	-0.000115692	5340.52
1.48	0.1	-0.000117044	5405.13
1.49	0.1	-0.000118285	5463.92
1.5	0.1	-0.000119451	5520
1.51	0.1	-0.000122446	5627.39
1.52	0.1	-0.00012507	5756.17
1.53	0.1	-0.000127372	5868.48
1.54	0.1	-0.00012945	5968.59
1.55	0.1	-0.000131294	6057.78
1.56	0.1	-0.000132965	6137.9
1.57	0.1	-0.000134533	6212.15
1.58	0.1	-0.000135968	6280.59
1.59	0.1	-0.000137297	6343.69
1.6	0.1	-0.000138547	6401.5
1.61	0.1	-0.00013595	6310.5
1.62	0.1	-0.000134985	6250.47
1.63	0.1	-0.000134957	6240.42
1.64	0.1	-0.000135484	6259.89
1.65	0.1	-0.000136328	6296.6
1.66	0.1	-0.000137349	6342.96
1.67	0.1	-0.000138465	6394.56
1.68	0.1	-0.000139628	6448.71
1.69	0.1	-0.000140804	6503.8
1.7	0.1	-0.000141975	6557.23
1.71	0.1	-0.000139515	6479.14
1.72	0.1	-0.000138374	6411.79
1.73	0.1	-0.000138041	6387.17
1.74	0.1	-0.000138224	6389.68
1.75	0.1	-0.000138751	6410.16
1.76	0.1	-0.000139512	6442.85
1.77	0.1	-0.000140434	6483.93
1.78	0.1	-0.000141467	6530.79
1.79	0.1	-0.000142576	6581.62
1.8	0.1	-0.000143734	6634.49
1.81	0.1	-0.000143843	6654.54
1.82	0.1	-0.000144259	6669.25
1.83	0.1	-0.000144891	6695.34
1.84	0.1	-0.000145676	6729.41
1.85	0.1	-0.000146576	6769.33
1.86	0.1	-0.000147558	6813.6
1.87	0.1	-0.000148603	6861.08
1.88	0.1	-0.000149693	6910.89
1.89	0.1	-0.000150816	6962.45
1.9	0.1	-0.000151963	7016.3
1.91	0.1	-0.000155257	7144.78
1.92	0.1	-0.000157875	7274.37
1.93	0.1	-0.00016003	7379.63
1.94	0.1	-0.000161869	7468.58
1.95	0.1	-0.000163505	7546.73
1.96	0.1	-0.000164983	7617.11
1.97	0.1	-0.00016635	7681.83
1.98	0.1	-0.000167639	7742.54
1.99	0.1	-0.000168866	7800.17
2	0.1	-0.000170046	7859.83
2.00952	0.1	-0.000179511	8186.59
2.01905	0.1	-0.000187421	8573.68
2.02857	0.1	-0.000192474	8844.79
2.0381	0.1	-0.000196498	9043.53
2.04762	0.1	-0.000199808	9205.55
2.05714	0.1	-0.000202618	9341.98
2.06667	0.1	-0.00020508	9460.55
2.07619	0.1	-0.000207293	9566.45
2.08571	0.1	-0.000209329	9663.25
2.09524	0.1	-0.000211233	9759.22
2.10476	0.1	-0.000224791	10239.8
2.11429	0.1	-0.000234817	10747
2.12381	0.1	-0.00024233	11123.3
2.13333	0.1	-0.000248183	11413.1
2.14286	0.1	-0.00025294	11646.1
2.15238	0.1	-0.000256982	11841.9
2.1619	0.1	-0.000260518	12012.1
2.17143	0.1	-0.00026369	12163.8
2.18095	0.1	-0.000266598	12302.2
2.19048	0.1	-0.000269309	12434.4
2.2	0.1	-0.000280116	12839.8
2.20952	0.1	-0.000287967	13234.5
