# Source : all c0
# Cells  : 500
# Time	sum(V)	volIntegrate(dQ)
0.269355	8e-07	5.70571
0.270968	8e-07	5.70628
0.272581	8e-07	5.70682
0.274194	8e-07	5.70733
0.275806	8e-07	5.70782
0.277419	8e-07	5.70828
0.279032	8e-07	5.70872
0.280645	8e-07	5.70915
0.282258	8e-07	5.70955
0.283871	8e-07	5.70993
0.285484	8e-07	5.71029
0.287097	8e-07	5.71063
0.28871	8e-07	5.71095
0.290323	8e-07	5.71126
0.291935	8e-07	5.71156
0.293548	8e-07	5.71184
0.295161	8e-07	5.7121
0.296774	8e-07	5.71235
0.298387	8e-07	5.71259
0.3	8e-07	5.71282
